Order,Member,SKU,Created On,Description,Member's Gender,Member's Membership Level,Member's Purchase History,Order Value,Payment Method,Order Status,Masked Credit Card Number,Masked  Member's Email,Masked  Member's Phone Number,Masked  Member's Full Name,Masked  Member's Address,Masked Delivery Address,Age Group
6422558,M27458,"15669789, 15669830, 34993978, 15669856, 7753787, 15668375, 15669824, 15668465, 7753739",28-09-2014,"Boiled Rice, Other Rice Products, Mosquito Repellent, Sugar, Health Drinks, Root Vegetables, Raw Rice, Root Vegetables, Health Drinks",Male,Silver,0,620,PayPal,Shipped,6.40824E+15,***a64@example.org,(***)***-0970,Melissa *******,"3260 Scott Fords, ************, ********","Unit 9405 Box 3979, ************",20-39
6422636,M39021,"7580802, 15668453, 15668375, 15668379, 15669760, 15668460, 15668683, 15669875, 34938526, 15669872, 15668467",28-09-2014,"Sunflower Oils, Brinjals, Root Vegetables, Other Vegetables, Whole Spices, Gourd & Cucumber, Beans, Kidney Beans, Other Sweets,Flat Rice, Beans",Male,Gold,8,618,Credit Card,Delivered,1.23282E+15,*******ton@example.com,(***)***-****x733,Kevin **********,"19919 Lara Ferry, *********, ********","PSC 8209, ********, ************",100+
6423338,M36366,"15668469, 15668478, 7586314, 15669800, 15669783, 15669824, 15669875, 34992998, 34992996, 15669811, 34992999, 34934493",28-09-2014,"Beans, Banana, Snacky Nuts, Cashews, Millet flour, Raw Rice, Kidney Beans, Yogurt & Lassi, Yogurt & Lassi, Almonds, Yogurt & Lassi, Chips",Male,Bronze,3,295,Cash,Shipped,8.68471E+15,***********ney@example.com,(***)***-****x*4006,Jessica *******,"43026 Fisher Mount, *********, ********","666 Jennifer Mills Suite 089, **********, ********",80-99
6423534,M25900,"34987356, 15670251, 7585573, 34992815",28-09-2014,"Facial Tissues, Organic F&V, Cakes, Cookies",Female,Gold,7,881,Credit Card,Pending,6.47784E+15,**ell@example.com,(***)***-7498,Jessica ******,"5071 Bell Knolls, *******************, ********","0279 Jason Forges Apt. 497, **************, ********",60-79
6423959,M57354,"34989501, 7580811, 7569799, 34938526",29-09-2014,"Other Pulses, Sunflower Oils, Snacks, Other Sweets",Male,Bronze,5,595,Cash,Delivered,9.24137E+15,****y96@example.net,***-***-****x5421,Matthew *****,"44842 Pamela Street, ****************, ********","5038 Shane Rue Apt. 867, ************, ********",60-79
6424341,M99030,"15668381, 7548497, 15668460, 15668453, 15668475",29-09-2014,"Other Vegetables, Liquid Soaps & Bars, Gourd & Cucumber, Brinjals, Beans",Male,Gold,10,984,Cash,Delivered,9.48837E+15,*********nna@example.com,-*0566,Robert *****,"7445 Gregory Freeway Apt. 036, *********, ********","5769 Moore Corner Apt. 549, *************, ********",0-19
6424438,M09303,15668460,29-09-2014,Gourd & Cucumber,Female,Bronze,1,447,PayPal,Pending,1.05433E+15,****ami@example.org,***.***.****x2620,Christine *****,"5330 Joseph Squares, ************, ********","6999 Sherman Plain, *****************, ********",60-79
6424740,M62656,"15669872, 15668453, 15669771, 15668380, 34987568, 92380533, 15669998, 15669830, 15669836, 15669799, 15668477, 15668460, 15668381, 15670270, 15668685, 15669777, 15668377",29-09-2014,"Avalakki / Poha, Brinjals, Maida, Other Vegetables, Whole Spices, Regular Pasta, Other Pulses, Other Rice Products, Raw Rice, Raisins, Exotic Vegetables, Gourd & Cucumber, Other Vegetables, Other Pulses, Beans, Urad Dal, Root Vegetables",Female,Bronze,3,322,PayPal,Shipped,2.02319E+15,********oni@example.net,***-***-***-****x*2721,Joel ******,"955 Scott Creek, ***************, ********","72747 Collins Skyway, ***********, ********",100+
6424814,M54345,"15668416, 7624786, 15668688",29-09-2014,"Banana, Ghee, Root Vegetables",Male,Gold,10,172,Cash,Pending,5.91816E+15,*****les@example.org,***-***-***-0639,Henry ******,"362 Vaughan Prairie, **********, ********","6504 Watson Squares, **************, ********",80-99
6424887,M36432,7692523,29-09-2014,Hair Colors & Dyes,Female,Gold,1,387,PayPal,Pending,8.43075E+15,***********vid@example.com,***-***-****x4404,Mark ****,"239 Margaret Oval, *************, ********","8454 Morgan Corner Suite 365, *********, ********",100+
6425525,M44156,"15668416, 15668685, 15668458, 15670010, 15668451, 15668474, 34938526",29-09-2014,"Banana, Beans, Brinjals, Almonds, Brinjals, Beans, Other Sweets",Male,Gold,5,677,PayPal,Pending,4.98407E+15,****her@example.net,(***)***-****x*0116,James ******,"8861 Tammy Expressway, **************, ********","Unit 6640 Box 9589, ************",60-79
6425899,M56309,"15668460, 7572254, 15668378, 15668495, 92435740, 15669829, 15668595, 7575638",29-09-2014,"Gourd & Cucumber, Cooking Sauce, Other Vegetables, Exotic Vegetables, Cooking Sauce, Raw Rice, Exotic Vegetables, Instant Noodles",Female,Silver,3,585,Cash,Shipped,4.21978E+15,********min@example.net,+*-***-***-****x8025,Donna *******,"83708 Robert Haven, ***********, ********","304 Reid Drive, ************, ********",0-19
6426214,M62833,"15669994, 15669859, 34992815, 15668684, 7569799, 34935569, 15669864, 7637309, 15669993, 15668473",29-09-2014,"Other Pulses, Kidney Beans, Cookies, Beans, Snacks, Bakery & Breads, Other Pulses, Mosquito Repellent, Other Pulses, Beans",Male,Bronze,2,246,PayPal,Pending,3.93087E+15,********ins@example.com,+*-***-***-****x*8010,John *******,"PSC 8126, ********, ************","28660 Lindsey Pines, **********, ********",80-99
6426322,M22037,"7575476, 34992851, 15669965, 7610118, 7631723, 15669780, 34938526, 34933820",29-09-2014,"Pain Relievers, Cut Vegetables, Raisins, Aluminium Foil & Cling Wrap, Hair Oil, Sugar, Other Sweets, Home & Air Freshener",Female,Gold,5,574,Cash,Pending,9.1635E+15,*****man@example.com,***-***-5790,Sarah ********,"709 Erin Drive, *********, ********","2322 Walker Via, ********, ********",40-59
6426680,M91098,"15669777, 15669799, 15669870, 15669833, 15669775, 21408953",30-09-2014,"Urad Dal, Raisins, Millet flour, Raw Rice, Millet flour, Whole Spices",Female,Bronze,10,919,PayPal,Delivered,6.84513E+15,****a78@example.net,******1650,Richard ********,"321 Weiss Plaza, ************, ********","925 Velez Points, ************, ********",0-19
6426838,M27458,"15668380, 15668375, 15668460, 34989667, 15669878, 15669864, 15668469, 15668381",30-09-2014,"Other Vegetables, Root Vegetables, Gourd & Cucumber, Other Rice Products, Kidney Beans, Other Pulses, Beans, Other Vegetables",Female,Silver,9,169,Credit Card,Shipped,6.43137E+15,*******t79@example.org,(***)***-****x*6884,Scott ****,"PSC 6443, ********, ************","PSC 5597, ********, ************",60-79
6427450,M09303,"7572301, 7593949, 7572311, 7572300, 15668520",30-09-2014,"Snacks, Cream Biscuits, Snacks, Snacks, Bread",Female,Silver,5,975,PayPal,Pending,6.01133E+15,****ard@example.org,(***)***-9307,Kathleen *******,"352 Nguyen Brook Suite 801, *************, ********","994 Phillips Points, ********, ********",0-19
6427744,M90375,"15668379, 15669864, 15668465, 15669863, 15668451, 15668375",30-09-2014,"Other Vegetables, Other Pulses, Root Vegetables, Moong Dal, Brinjals, Root Vegetables",Female,Gold,2,214,PayPal,Delivered,2.94891E+15,************son@example.org,******8316,Kenneth **********,"3589 Jackson Station Suite 339, ***************, ********","28593 Dunn Burg, ********, ********",0-19
6428149,M48101,"15668688, 7569802, 15669797, 7572301, 7572254, 15668467, 7572252, 15669965, 34938526",30-09-2014,"Root Vegetables, Snacks, Raisins, Snacks, Cooking Sauce, Beans, Cooking Paste, Raisins, Other Sweets",Female,Silver,10,330,PayPal,Delivered,1.0537E+15,***********ina@example.net,+*-***-***-****x021,Natalie ***,"845 Levy Stream, ***********, ********","9998 Moran Trail Apt. 168, ************, ********",60-79
6428570,M96365,"15668381, 15669875, 15668460, 15668378, 34986330",30-09-2014,"Other Vegetables, Kidney Beans, Gourd & Cucumber, Other Vegetables, Raw Rice",Female,Silver,7,498,Cash,Pending,9.3843E+15,**********oll@example.com,******6217,Cameron *******,"USNV Clarke, ************","16170 Freeman Prairie Suite 615, **********, ********",60-79
6429337,M84827,"15669965, 15669881, 15670009, 15669856, 15669804, 21410640",30-09-2014,"Raisins, Millet flour, Almonds, Sugar, Cashews, Organic Rice & Rice Products",Male,Gold,7,265,Credit Card,Delivered,8.16406E+15,******y82@example.org,******4703,Aaron ****,"419 Joshua Gateway, *************, ********","14427 Valentine Place Suite 646, ***********, ********",100+
6429360,M59012,"93009339, 21410748, 15668688, 21408942, 15668416, 21410750",30-09-2014,"Organic Flours, Organic Juices, Root Vegetables, Other Rice Products, Banana, Organic Juices",Male,Silver,10,658,PayPal,Pending,4.02013E+15,***********cia@example.com,(***)***-****x7965,Elizabeth ******,"22516 Melissa Harbor, ***************, ********","2244 Black Cove, *************, ********",60-79
6429414,M46687,"15670267, 15669863, 34986330, 15669856, 34938526, 15669789, 15668451, 15669786, 15669760, 15669777, 15669770, 15669860, 15669830, 34989502, 15669878, 15669874, 15669880",30-09-2014,"Kidney Beans, Moong Dal, Raw Rice, Sugar, Other Sweets, Boiled Rice, Brinjals,Flat Rice, Whole Spices, Urad Dal, Other Flours, Moong Dal, Other Rice Products, Other Pulses, Kidney Beans,Flat Rice, Millet flour",Male,Silver,2,479,Credit Card,Shipped,1.08754E+15,****tin@example.org,******1542,Travis ******,"5855 King Squares, **********, ********","5607 Chelsea Mountain Apt. 004, ***********, ********",60-79
6429696,M36432,"7612452, 92377490, 7737419, 7752948, 15668478, 34931130",01-10-2014 00:00,"Other Oils, Face Cream, Face Cream, Face Cream, Banana, Colours ",Female,Gold,5,816,Credit Card,Pending,1.53357E+15,*******tor@example.com,(***)***-****x7144,Elizabeth ******,"PSC 3667, ********, ************","78918 Collins View Suite 113, ***********, ********",100+
6429758,M36432,29247038,01-10-2014 00:00,Raw Rice,Male,Silver,10,451,Cash,Pending,5.66648E+15,*******ana@example.com,***.***.****x5069,Brian ******,"278 Hebert Underpass Suite 847, ***********, ********","025 Ronald Orchard Suite 012, ***********, ********",60-79
6429856,M33491,"21408952, 15668458, 15669760, 15668451, 15668473, 15668381, 15669821, 7616471, 7624788, 15668380, 34987615",01-10-2014 00:00,"Whole Spices, Brinjals, Whole Spices, Brinjals, Beans, Other Vegetables, Whole Spices, Shaving Cream, Foam & Gels, Ghee, Other Vegetables, Milk",Male,Gold,10,712,PayPal,Delivered,4.48396E+15,***own@example.org,***-***-2562,Sabrina ******,"983 David Stream, *************, ********","254 Lisa Cliff Apt. 731, **********, ********",20-39
6429882,M36702,"34938526, 34994233, 15668478, 15668379, 7587665, 7607551, 15668375, 15669856",01-10-2014 00:00,"Other Sweets, Organic F&V, Banana, Other Vegetables, Organic Masalas & Spices, Oats, Root Vegetables, Sugar",Female,Silver,8,893,Cash,Delivered,5.72493E+15,**********don@example.org,***.***.7361,Christopher ******,"7604 Velez Divide Apt. 702, *********, ********","954 Ellison Roads Suite 141, ****************, ********",20-39
6429902,M43977,"34986328, 15669867, 15669860, 15669776, 15669789, 7757971, 15669880, 15668416, 15669829, 15668449, 15669864, 15669988",01-10-2014 00:00,"Kidney Beans, Other Pulses, Moong Dal, Other Pulses, Boiled Rice, Ghee, Millet flour, Banana, Raw Rice, Exotic Vegetables, Other Pulses, Other Pulses",Female,Silver,0,949,PayPal,Shipped,8.99501E+15,************thy@example.net,***.***.3421,Stacey ******,"535 Theresa River Suite 527, *************, ********","7917 Joe Oval Suite 578, ***********, ********",40-59
6430077,M33422,"7572311, 7735760",01-10-2014 00:00,"Snacks, Snacks",Male,Silver,10,633,PayPal,Delivered,6.01396E+15,***********lle@example.org,***.***.****x5358,Robert ******,"630 Hicks Parks, ***********, ********","968 Haney Keys, ***************, ********",20-39
6430162,M41781,"34987020, 7585037, 7541573, 7575638, 15669965, 15669987, 34990078",01-10-2014 00:00,"Frozen Veg Food, Instant Noodles, Glucose, Marie & Milk Biscuits, Instant Noodles, Raisins, Other Rice Products, Face Packs & Scrubs",Female,Bronze,1,313,Credit Card,Delivered,1.6045E+15,*********son@example.org,******6834,Ronald *****,"5306 Munoz Plaza, ************, ********","3031 Donald Mills, *************, ********",60-79
6430330,M76390,"15668375, 34987569",30-09-2014,"Root Vegetables, Powdered Spices",Male,Silver,7,627,Credit Card,Pending,8.8368E+15,**********ene@example.net,***.***.****x796,Mrs. *****,"204 Hancock Gateway Suite 923, **************, ********","7937 Stephanie Estates Apt. 470, ***************, ********",20-39
6430773,M35538,"15668478, 15669879, 15668451, 15668375, 15669861, 15668465, 15669816, 15668468",01-10-2014 00:00,"Banana, Other Pulses, Brinjals, Root Vegetables, Raw Peanuts, Root Vegetables, Other Pulses, Beans",Female,Gold,9,26,Cash,Shipped,1.54442E+15,***n15@example.net,***.***.****x*2680,Rebecca *****,"USNV Lopez, ************","424 Tina Drive, *************, ********",0-19
6431008,M54382,"15670269, 15669988, 15669780, 15668469, 15669775, 15670267, 15668380",01-10-2014 00:00,"Other Pulses, Other Pulses, Sugar, Beans, Millet flour, Kidney Beans, Other Vegetables",Male,Silver,8,159,Cash,Shipped,2.26824E+15,*****s87@example.net,***-***-7788,Jennifer *****,"6339 Thompson Drive, ************, ********","91143 Russell Meadow, *********, ********",100+
6431208,M12050,"15668381, 15669772, 15669887, 15668375, 34938526, 34995245, 7572313, 15668468, 15668462, 7579698, 15670251, 15669777, 15669860, 15668471, 7572311, 15668451, 7579697, 15669875, 7642486",01-10-2014 00:00,"Other Vegetables, Other Pulses, Maida, Root Vegetables, Other Sweets, Other Jams, Snacks, Beans, Gourd & Cucumber, Cream Biscuits, Organic F&V, Urad Dal, Moong Dal, Beans, Snacks, Brinjals, Cream Biscuits, Kidney Beans, Ice Creams & Desserts",Male,Bronze,8,140,Cash,Delivered,5.70427E+15,*********iel@example.org,***-***-2629,Justin ********,"Unit 6209 Box 1461, ************","731 Crystal Camp, ***********, ********",40-59
6431630,M99206,"15668474, 15668478, 15669766, 21408952, 15668467, 21410627, 15669881, 34988778, 15669825, 7753779, 15669883, 15668462, 15668451",01-10-2014 00:00,"Beans, Banana, Other Flours, Whole Spices, Beans, Organic Masalas & Spices, Millet flour, Rasagulla & Gulab Jamun, Boiled Rice, Health Drinks, Rice Flour, Gourd & Cucumber, Brinjals",Female,Bronze,4,154,PayPal,Pending,4.63215E+15,*lee@example.net,+*-***-***-****x*8653,Kim ****,"027 Adriana Inlet Suite 400, **********, ********","166 Pam Alley Apt. 206, ***********, ********",20-39
6431665,M38622,"7548730, 15668477, 7571385, 7587679, 7587688, 7628037, 7587658, 15670251, 7587495, 34990375, 7632452, 21410666, 21410667, 34990372, 7543295, 21410748, 7587661, 21410627, 7543241, 21410677, 7587659, 21410629, 15669819, 15670144, 7570497, 34990553, 15668416, 7570671, 7587657, 7541573, 7587687, 7629391, 7663376",01-10-2014 00:00,"Organic Flours, Exotic Vegetables, Glucose, Marie & Milk Biscuits, Organic Flours, Organic Masalas & Spices, Ghee, Organic Salt,Sugar & Jaggery, Organic F&V, Organic Pulses & Pulses, Healthy & Digestive Biscuits, Liquid Detergent, Organic Pulses & Pulses, Organic Flours, Healthy & Digestive Biscuits, Organic Masalas & Spices, Organic Juices, Organic Pulses & Pulses, Organic Masalas & Spices, Organic Pulses & Pulses, Organic Masalas & Spices, Organic Pulses & Pulses, Organic Edible Oils & Ghee, Other Pulses, Organic F&V, Toothpaste, Healthy & Digestive Biscuits, Banana, Liquid Soaps & Bars, Organic Pulses & Pulses, Glucose, Marie & Milk Biscuits, Organic Masalas & Spices, Glucose, Marie & Milk Biscuits, Mosquito Repellent",Male,Bronze,9,483,Credit Card,Pending,9.68219E+15,**************rly@example.com,***.***.****x0349,Christine *****,"05438 Murphy Burgs Suite 923, ********, ********","026 Miller Club Apt. 909, ***********, ********",80-99
6431675,M54796,"15668377, 15668478, 15669780, 34987956, 15668381, 15668685, 15668474, 15670241",01-10-2014 00:00,"Root Vegetables, Banana, Sugar, Corn Snacks, Other Vegetables, Beans, Beans, Organic F&V",Male,Gold,5,453,Cash,Pending,6.5412E+15,******ing@example.org,***-***-****x545,Steven ********,"Unit 5341 Box 4121, ************","99136 Andrew Ports, ************, ********",80-99
